txn_id,user_id,amount,timestamp,type,payment_method,items,account_balance
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440010,1000.00,2025-10-21T20:00:00+00:00,credit,card,"{""item"": ""electronics"", ""category"": ""luxury""}",5000.00
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440010,2000.00,2025-10-21T20:02:00+00:00,credit,card,"{""item"": ""jewelry"", ""category"": ""luxury""}",5000.00
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440010,1500.00,2025-10-21T20:04:00+00:00,credit,card,"{""item"": ""watches"", ""category"": ""luxury""}",5000.00
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440011,10000.00,2025-10-21T23:30:00+00:00,debit,card,"{""item"": ""car"", ""category"": ""vehicle""}",5000.00
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440012,50000.00,2025-10-21T02:00:00+00:00,credit,unknown,"{""item"": ""electronics"", ""category"": ""luxury""}",100000.00
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440013,100.00,2025-10-21T10:00:00+00:00,credit,card,"{""item"": ""coffee"", ""category"": ""food""}",1000.00
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440013,200.00,2025-10-21T10:01:00+00:00,credit,card,"{""item"": ""lunch"", ""category"": ""food""}",1000.00
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440013,300.00,2025-10-21T10:02:00+00:00,credit,card,"{""item"": ""dinner"", ""category"": ""food""}",1000.00
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440014,5000.00,2025-10-21T11:00:00+00:00,debit,card,"{""item"": ""electronics"", ""category"": ""luxury""}",2000.00
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440015,100000.00,2025-10-21T12:00:00+00:00,credit,card,"{""item"": ""house"", ""category"": ""real_estate""}",50000.00
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440016,25000.00,2025-10-21T01:30:00+00:00,credit,unknown,"{""item"": ""cryptocurrency"", ""category"": ""investment""}",50000.00
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440017,500.00,2025-10-21T13:00:00+00:00,credit,card,"{""item"": ""groceries"", ""category"": ""food""}",2000.00
550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440017,600.00,2025-10-21T13:01:00+00:00,credit,card,"{""item"": ""groceries"", ""category"": ""food""}",2000.00
550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440017,700.00,2025-10-21T13:02:00+00:00,credit,card,"{""item"": ""groceries"", ""category"": ""food""}",2000.00
550e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440018,15000.00,2025-10-21T14:00:00+00:00,credit,card,"{""item"": ""furniture"", ""category"": ""home""}",30000.00
